company,description,industries
LEHMAN BROTHERS HOLDINGS INC. (LEH),"Lehman Brothers filed for bankruptcy in 2008. Prior to bankruptcy, Lehman Brothers provided a full array of financial services in equity and fixed income sales, trading and research, investment banking, asset management, private investment management and private equity.","Bankruptcy.,banking,financial company,financial services"
"LEGGETT & PLATT, INCORPORATED (LEG)","Leggett & Platt was founded in 1883. The company is a diversified manufacturer that makes bedding, furniture, automotive, and aerospace components.","manufacturing,materials"
"LEIDOS HOLDINGS, INC. (LDOS)","Leidos provides surveillance and reconnaissance collection and processing systems, advanced sensors, command and control solutions, training systems, and cybersecurity solutions for the U.S. Department of Defense, the intelligence community, and other government customers. The company also provides Electronic Health Record systems for government and commercial hospitals, and offers industrial engineering services.","business services,IT services"
"L BRANDS, INC. (LB)","L Brands is a specialty retailer that operates Victoria’s Secret, Bath & Body Works, and other brands.",retail
LOEWS CORPORATION (L),"Loews is a holding company, whose subsidiaries include CNA Financial Corporation, a commercial property and casualty insurer, Diamond Offshore Drilling, Inc., an operator of offshore oil and gas drilling rigs, Boardwalk Pipeline Partners, LP, engaged in the transportation and storage of natural gas, and the Loews Hotels Holding Corporation, a hotel chain operator.","conglomerate,engineering and construction,energy,financial company,insurance"
KANSAS CITY SOUTHERN (KSU),Kansas City Southern is a North American railroad operator.,transportation
KOHL'S CORPORATION (KSS),"Kohl's operates department stores in the U.S., and the Kohls.com e-commerce website. The company sells apparel, footwear, accessories, beauty and home products.",retail
"KRAFT FOODS GROUP, INC. (KRFT)","Prior to its 2015 merger with Heinz, Kraft Foods was a worldwide consumer packaged food and beverage company that manufactured and marketed food and beverage products including cheese, meats, refreshment beverages, coffee, packaged dinners, refrigerated meals, and dressings, primarily in the United States and Canada.","Acquired.,consumer goods"
THE KROGER CO. (KR),"Founded in 1883, Kroger operates retail food supermarkets under a variety of local banner names. Supermarkets are generally operated as combination food and drug stores, multi-department stores, marketplaces, or warehouses. The company also manufacture and process some of the food for sale in its stores.",retail
EASTMAN KODAK COMPANY (KODK),"Eastman Kodak primarily provides printing equipment, digital offset plates, and consumables to commercial print, direct mail, publishing and packaging industries. The company also licenses Kodak brands to third party consumer product manufacturers, and sells industrial and motion picture film.","Bankruptcy.,consumer goods,equipment"
THE COCA-COLA COMPANY (KO),"The Coca-Cola Company is the world's largest beverage company. The company owns, licenses and markets a number of nonalcoholic beverage brands, primarily sparkling beverages, waters, juices, ready-to-drink teas and coffees, and energy and sports drinks.",consumer goods
"CARMAX, INC. (KMX)","CarMax is a U.S. based auto retailer. The company purchases and sells used vehicles, and arranges financing for its customers.",retail
"KINDER MORGAN, INC. (KMI)","Kinder Morgan owns and operates pipelines and terminals that transport natural gas, oil, and petroleum products in North America.","energy,transportation"
KIMBERLY-CLARK CORPORATION (KMB),"Kimberly-Clark provides personal care, consumer tissue and professional products under brands such as Huggies, Kotex, Kleenex, and Scott.","consumer goods,health care"
KLA-TENCOR CORPORATION (KLAC),"KLA-Tencor supplies process control and yield management solutions for the semiconductor and nanoelectronics industries. Company products are also used in other high technology industries, including the light emitting diode (LED) and data storage industries, as well as general materials research.","equipment,hardware"
KIMCO REALTY CORPORATION (KIM),"Kimco Realty is a self-administered real estate investment trust (""REIT"") that owns and operates open-air shopping centers.","real estate,REIT"
THE KRAFT HEINZ COMPANY (KHC),"Kraft Heinz manufactures and markets food and beverages, including condiments and sauces, cheese and dairy, meals, meats, refreshment beverages, and coffee throughout the world, under brands including Heinz, Kraft, Oscar Mayer, Planters, Philadelphia, Velveeta, Lunchables, Maxwell House, Capri Sun, and Ore-Ida.",consumer goods
"KING PHARMACEUTICALS, INC. (KG)","Acquired by Pfizer in 2010, King Pharmaceuticals was a pharmaceutical company developing pain medicines and hospital products for use in humans, and medicated feed additives and water-soluble therapeutics for use in poultry, cattle, and swine.","Acquired.,health care,pharmaceuticals"
KEYCORP (KEY),"KeyCorp provides retail and commercial banking, commercial leasing, investment management, consumer finance, commercial mortgage servicing, and investment banking products to individual, corporate, and institutional clients.","banking,financial company"
KB HOME (KBH),"KB Home constructs and sells single-family residential homes, townhomes and condominiums in the U.S. The company also provides mortgage banking and insurance services to homebuyers.",engineering and construction
KATE SPADE & COMPANY (KATE),"Acquired by Coach in 2017, Kate Spade offered fashion and home products, distributed through department stores, specialty retail stores and e-commerce.","Acquired.,consumer goods"
KELLOGG COMPANY (K),"Kellogg, founded in 1906, manufactures and markets ready-to-eat cereal and convenience foods.",consumer goods
NORDSTROM INC (JWN),"Founded in 1901, Nordstrom is a fashion retailer that operates stores in the U.S. and Canada, as well as Nordstrom.com and TrunkClub.com web sites.",retail
JPMORGAN CHASE & CO. (JPM),"JPMorgan Chase is a global financial services firm that provides investment banking, financial services for consumers and small businesses, commercial banking, financial transaction processing and asset management.","banking,financial company"
THE JONES GROUP INC. (JNY),"Acquired by Sycamore Partners, a private equity firm in 2014, The Jones Group was a global designer, marketer and wholesaler of apparel, footwear, jeans, jewelry and handbag brands.","Acquired.,consumer goods,retail"
JANUS CAPITAL GROUP INC. (JNS),"Acquired by Henderson on 2017, Janus Capital provided investment management and administration services to financial advisors, individuals and institutional clients through mutual funds, separate accounts, other pooled investment vehicles, and exchange-traded products in the U.S. and internationally.","Acquired.,asset management,financial company"
"JUNIPER NETWORKS, INC. (JNPR)","Juniper Networks makes routers, switches, security gateways and firewalls for network service providers, data centers, and enterprise networks.",hardware
JOHNSON & JOHNSON (JNJ),"Johnson & Johnson is engaged in the research and development, manufacture and sale of a broad range of products in the health care field, including consumer products for baby care, oral care, skin care, and women’s health; pharmaceuticals; and medical devices. The company was incorporated in 1887.","consumer goods,health care,medical devices,pharmaceuticals"
JEFFERIES FINANCIAL GROUP (JEF),"Jefferies Financial Group, formerly Leucadia National Corporation, operates a global investment banking firm and a merchant banking business.",conglomerate
JACOBS ENGINEERING GROUP INC. (JEC),"Jacobs provides technical, professional, and construction services to clients in the oil and gas, chemicals, technology, and government markets. Services include engineering, architecture, environmental, and similar services, process, scientific, and systems consulting, construction, and operations and maintenance.",engineering and construction
